Dataset,LS Avg Time(s),LS Avg Sol.Quality,LS Full Tour Fraction,LS Best Distance,Brute Force Time(s),Brute Force Sol.Quality,Brute Force Full Tour,Brute Force RelError(%),Approx Time(s),Approx Sol.Quality,Approx Full Tour,Approx RelError(%)
Atlanta.tsp,0.028675995899538974,2081501.6,1.0,2023779,20.000303250002617,2060178,Yes,1.7985659501358597,0.0003113330021733418,2380448.0,Yes,17.623910515920958
Berlin.tsp,0.036135149999608984,9918.6,1.0,9159,20.000924416999624,8394,Yes,-8.35244022273174,0.0005571250003413297,10402.0,Yes,13.571350584124906
Boston.tsp,0.037670567000168374,1034099.6,1.0,974760,20.00143341599687,1028480,Yes,5.511100168246543,0.00701933399977861,1150963.0,Yes,18.07655217694612
Champaign.tsp,0.03877285430062329,67457.8,1.0,58904,20.003116084000794,58797,Yes,-0.18165150074697814,0.003981874997407431,65712.0,Yes,11.557788944723619
Cincinnati.tsp,0.021626754000317307,278110.5,1.0,277952,0.2044374159995641,277952,Yes,0.0,0.0049917500000447035,301216.0,Yes,8.369790467418834
Denver.tsp,0.055319316599707236,157767.4,1.0,143124,20.000761250001233,110982,Yes,-22.45744948436321,0.0010907910000241827,134748.0,Yes,-5.8522679634442865
NYC.tsp,0.05524377490000916,2187971.0,1.0,1956259,20.00050637499953,1816015,Yes,-7.168989382285269,0.0010656249978637788,2027107.0,Yes,3.621606341491592
Philadelphia.tsp,0.0331692498006305,1603695.1,1.0,1424375,20.004738499999803,1473335,Yes,3.437297060114085,0.0048377089988207445,1646249.0,Yes,15.57693725318122
Roanoke.tsp,0.13991040010077996,2067264.9,1.0,1917576,20.004451459000848,787054,Yes,-58.955785846297616,0.006336917002045084,838282.0,Yes,-56.28428808036813
SanFrancisco.tsp,0.06826507500045409,1475846.9,1.0,1343504,20.000955957999395,896718,Yes,-33.255278733818436,0.001267208001081599,1134989.0,Yes,-15.520236634948612
Toronto.tsp,0.07445371649992012,2645423.9,1.0,2390851,20.00251324999772,1358974,Yes,-43.15940223794791,0.00390670799970394,1675105.0,Yes,-29.936871850232404
UKansasState.tsp,0.02049042489961721,62962.0,1.0,62962,0.027230457999394275,62962,Yes,0.0,0.000201749997359002,68090.0,Yes,8.144595152631746
UMissouri.tsp,0.06430223760035006,221524.0,1.0,199739,20.00105520800207,158602,Yes,-20.59537696694186,0.001420415999746183,178249.0,Yes,-10.75904054791503
,,,,,,,,,,,,
,,,,,,,,,,,,